7.48568	7.78507	7.82337	7.78886	7.4264	7.25337	
7.20663	7.15005	7.73802	7.01802	7.53231	7.96795	
7.80433	7.63928	7.65522	7.11881	7.61725	7.78722	
7.82744	7.93989	7.17148	7.19938	7.95265	7.56346	
7.80234	7.34957	7.8756	7.07719	7.33473	7.9614	

7.01802	7.07719	7.11881	7.15005	7.17148	7.19938	
7.20663	7.25337	7.33473	7.34957	7.4264	7.48568	
7.53231	7.56346	7.61725	7.63928	7.65522	7.73802	
7.78507	7.78722	7.78886	7.80234	7.80433	7.82337	
7.82744	7.8756	7.93989	7.95265	7.9614	7.96795	

0.0309364	0.0311973	0.0313807	0.0315184	0.0316129	0.0317359	
0.0317679	0.0319739	0.0323325	0.032398	0.0327366	0.0329979	
0.0332035	0.0333408	0.0335779	0.033675	0.0337453	0.0341103	
0.0343177	0.0343271	0.0343344	0.0343938	0.0344026	0.0344865	
0.0345045	0.0347168	0.0350002	0.0350564	0.035095	0.0351239	

Suma po normalizacji: 1
